"Localitate","Judet","Agentie","KM"
"Abrud","Alba","Campeni",""
"Abrud-Sat","Alba","Campeni",""
"Achimetesti","Alba","Campeni","28"
"Acmariu","Alba","Orastie","20"
"Aiud","Alba","Alba Iulia",""
"Aiudul de Sus","Alba","Alba Iulia",""
"Alba Iulia","Alba","Alba Iulia",""
"Albac","Alba","Campeni",""
"Alecus","Alba","Tarnaveni","33"
"Almasu de Mijloc","Alba","Orastie","36"
"Almasu Mare","Alba","Alba Iulia","51"
"Ampoita","Alba","Alba Iulia",""
"Anghelesti","Alba","Campeni","21"
"Arieseni","Alba","Campeni","43"
"Aronesti","Alba","Campeni",""
"Arti","Alba","Sebes","35"
"Asinip","Alba","Alba Iulia","45"
"Avram Iancu","Alba","Campeni","31"
"Avramesti (Arieseni)","Alba","Campeni","43"
"Avramesti (Avram Iancu)","Alba","Campeni","29"
"Baba","Alba","Campeni","26"
"Bacainti","Alba","Orastie",""
"Badai","Alba","Campeni","43"
"Bagau","Alba","Alba Iulia","37"
"Bai","Alba","Campeni","21"
"Baia de Aries","Alba","Campeni","25"
"Balcaciu","Alba","Tarnaveni","30"
"Balesti","Alba","Campeni",""
"Balesti-Catun","Alba","Campeni",""
"Balmosesti","Alba","Campeni",""
"BALOMIRU DE CAMP","Alba","Orastie",""
"Barabant","Alba","Alba Iulia",""
"Barasti","Alba","Campeni","24"
"Barbesti","Alba","Campeni","49"
"Bardesti","Alba","Campeni","25"
"Barlesti (Bistra)","Alba","Campeni",""
"Barlesti (Mogos)","Alba","Campeni","38"
"Barlesti (Scarisoara)","Alba","Campeni","20"
"Barlesti-Catun","Alba","Campeni","51"
"Barsana","Alba","Sebes","34"
"Barzan","Alba","Campeni","21"
"Barzogani","Alba","Campeni","54"
"Bazesti","Alba","Campeni",""
"Beldiu","Alba","Alba Iulia",""
"Benic","Alba","Alba Iulia","21"
"Berghin","Alba","Alba Iulia",""
"Beta","Alba","Alba Iulia","45"
"Bidigesti","Alba","Campeni",""
"Biharia","Alba","Campeni","39"
"Biia","Alba","Tarnaveni","32"
"Bilanesti","Alba","Campeni",""
"Bisericani","Alba","Campeni","27"
"Bistra","Alba","Campeni",""
"Blaj","Alba","Alba Iulia",""
"Blandiana","Alba","Orastie","20"
"Blidesti","Alba","Campeni",""
"Bobaresti (Sohodol)","Alba","Campeni",""
"Bobaresti (Vidra)","Alba","Campeni",""
"Bocesti","Alba","Campeni","50"
"Bocsitura","Alba","Orastie","37"
"Bodesti","Alba","Campeni",""
"Bodresti","Alba","Campeni","56"
"Bogdanesti (Mogos)","Alba","Campeni","51"
"Bogdanesti (Vidra)","Alba","Campeni","51"
"Boglesti","Alba","Campeni",""
"Boldesti","Alba","Campeni","23"
"Bolovanesti","Alba","Orastie","24"
"Boncesti","Alba","Campeni",""
"Bordestii Poieni","Alba","Campeni",""
"Borlesti","Alba","Campeni",""
"Botani","Alba","Alba Iulia","42"
"Botesti (Campeni)","Alba","Campeni",""
"Botesti (Scarisoara)","Alba","Campeni","29"
"Botesti (Zlatna)","Alba","Alba Iulia","40"
"Boz","Alba","Sebes","23"
"Bradeana","Alba","Campeni",""
"Bradesti","Alba","Alba Iulia","60"
"Bradet","Alba","Alba Iulia","54"
"Brazesti","Alba","Campeni","30"
"Bubesti","Alba","Campeni","46"
"Bucerdea granoasa","Alba","Alba Iulia",""
"Bucerdea Vinoasa","Alba","Alba Iulia",""
"Bucium","Alba","Campeni","27"
"Bucium-Sat","Alba","Campeni","21"
"Bucuru","Alba","Orastie","35"
"Budaiesti","Alba","Campeni","23"
"Budeni","Alba","Alba Iulia","40"
"Bulbuc","Alba","Orastie","28"
"Buninginea","Alba","Campeni","20"
"Bunta","Alba","Campeni","21"
"Burzesti","Alba","Campeni",""
"Burzonesti","Alba","Campeni",""
"Butesti (Horea)","Alba","Campeni","29"
"Butesti (Mogos)","Alba","Campeni","40"
"Calene","Alba","Orastie","33"
"Calnic","Alba","Sebes",""
"Calugaresti","Alba","Campeni","30"
"Campeni","Alba","Campeni",""
"Campu Goblii","Alba","Sebes",""
"Candesti","Alba","Campeni","41"
"CAPALNA","Alba","Sebes",""
"Capalna de Jos","Alba","Tarnaveni","21"
"Captalan","Alba","Ludus","29"
"Capu Dealului","Alba","Medias","40"
"Capud","Alba","Alba Iulia","22"
"Carasti","Alba","Campeni","25"
"Carpen","Alba","Sebes","23"
"Carpenii de Sus","Alba","Sebes",""
"Carpinis (Garbova)","Alba","Sebes","25"
"Carpinis (Rosia Montana)","Alba","Campeni",""
"Cartulesti","Alba","Campeni","29"
"Casa de Piatra","Alba","Campeni","46"
"Casoaia","Alba","Campeni","31"
"Cenade","Alba","Alba Iulia","56"
"Cerbu","Alba","Campeni","20"
"Cergau","Alba","Alba Iulia","40"
"Cergau Mare","Alba","Alba Iulia","40"
"Cergau Mic","Alba","Alba Iulia","44"
"Certege","Alba","Campeni",""
"Ceru-Bacainti","Alba","Orastie","20"
"Cetatea de Balta","Alba","Tarnaveni",""
"Cetea","Alba","Alba Iulia","24"
"Cheia","Alba","Alba Iulia","45"
"Cheile Cibului","Alba","Alba Iulia","60"
"Cheleteni","Alba","Campeni",""
"Cib","Alba","Alba Iulia","54"
"Cicard","Alba","Alba Iulia","52"
"Cicau","Alba","Alba Iulia","40"
"Cioara de Sus","Alba","Campeni","27"
"Ciocasu","Alba","Sebes",""
"Cionesti","Alba","Campeni",""
"Cistei","Alba","Alba Iulia",""
"Cisteiu de Mures","Alba","Ludus","32"
"Ciuculesti","Alba","Campeni","28"
"Ciugud","Alba","Alba Iulia",""
"Ciugudu de Jos","Alba","Ludus","37"
"Ciugudu de Sus","Alba","Ludus","41"
"Ciuguzel","Alba","Alba Iulia","43"
"Ciuldesti","Alba","Campeni",""
"Ciumbrud","Alba","Alba Iulia",""
"Ciuruleasa","Alba","Campeni",""
"Coasta Hentii","Alba","Campeni",""
"Coasta Vascului","Alba","Campeni","21"
"Cobles","Alba","Campeni","45"
"Cocesti","Alba","Campeni","27"
"Cocosesti","Alba","Campeni","26"
"Cojocani","Alba","Campeni","49"
"Coleseni","Alba","Campeni","22"
"Colibi","Alba","Sebes","31"
"Coltesti","Alba","Alba Iulia","50"
"Copand","Alba","Ludus",""
"Corna","Alba","Campeni","20"
"Cornu","Alba","Alba Iulia","35"
"Coroiesti","Alba","Campeni","24"
"Cortesti","Alba","Campia Turzii","62"
"Coslariu","Alba","Alba Iulia",""
"Coslariu Nou","Alba","Alba Iulia",""
"Costesti (Albac)","Alba","Campeni","36"
"Costesti (Poiana Vadului)","Alba","Campeni","38"
"Cotorasti","Alba","Alba Iulia","41"
"Craciunelu de Jos","Alba","Alba Iulia",""
"Craciunelu de Sus","Alba","Tarnaveni","26"
"Craiva","Alba","Alba Iulia",""
"Cretesti","Alba","Campeni",""
"Cricau","Alba","Alba Iulia",""
"Criseni","Alba","Sebes",""
"Cristesti","Alba","Campeni","43"
"Cucuta","Alba","Orastie","23"
"Cugir","Alba","Orastie",""
"Culdesti","Alba","Campeni",""
"Cunta","Alba","Sebes",""
"Curaturi","Alba","Campeni",""
"Curmatura","Alba","Campeni","23"
