Localitate,Judet,Comuna,KM
Sectorul 1,Bucuresti,Sectorul 1,0
Sectorul 2,Bucuresti,Sectorul 2,0
Sectorul 3,Bucuresti,Sectorul 3,0
Sectorul 4,Bucuresti,Sectorul 4,0
Sectorul 5,Bucuresti,Sectorul 5,0
Sectorul 6,Bucuresti,Sectorul 6,0
Alba Iulia,Alba,Alba iulia,0
Arad,Arad,Arad,0
Campulung,Arges,Campulung,0
Pitesti,Arges,Pitesti,0
Bacau,Bacau,Bacau,0
Onesti,Bacau,Onesti,0
Alesd,Bihor,Alesd,0
Oradea,Bihor,Oradea,0
Bistrita,Bistrita-Nasaud,Bistrita,0
Botosani,Botosani,Botosani,0
Braila,Braila,Braila,0
Brasov,Brasov,Brasov,0
Fagaras,Brasov,Fagaras,0
Buzau,Buzau,Buzau,0
Calarasi,Calarasi,Calarasi,0
Resita,Caras-Severin,Resita,0
Cluj-Napoca,Cluj,Cluj-Napoca,0
Dej,Cluj,Dej,0
Turda,Cluj,Turda,0
Constanta,Constanta,Constanta,0
Mangalia,Constanta,Mangalia,0
Medgidia,Constanta,Medgidia,0
Sfantu Gheorghe,Covasna,Sfantu gheorghe,0
Targoviste,Dambovita,Targoviste,0
Craiova,Dolj,Craiova,0
Galati,Galati,Galati,0
Giurgiu,Giurgiu,Giurgiu,0
Targu Jiu,Gorj,Targu jiu,0
Miercurea-Ciuc,Harghita,Miercurea-ciuc,0
Deva,Hunedoara,Deva,0
Petrosani,Hunedoara,Petrosani,0
Slobozia,Ialomita,Slobozia,0
Iasi,Iasi,Iasi,0
1 Decembrie,Ilfov,1 Decembrie,0
Afumati,Ilfov,Afumati,0
Balotesti,Ilfov,Balotesti,0
Dumbraveni,Ilfov,Balotesti,0
Saftica,Ilfov,Balotesti,0
Berceni,Ilfov,Berceni,0
Bragadiru,Ilfov,Bragadiru,0
Branesti,Ilfov,Branesti,0
Pasarea,Ilfov,Branesti,0
Vadu Anei,Ilfov,Branesti,0
Buciumeni,Ilfov,Buftea,0
Buftea,Ilfov,Buftea,0
Balaceanca,Ilfov,Cernica,0
Caldararu,Ilfov,Cernica,0
Cernica,Ilfov,Cernica,0
Posta,Ilfov,Cernica,0
Tanganu,Ilfov,Cernica,0
Chiajna,Ilfov,Chiajna,0
Dudu,Ilfov,Chiajna,0
Rosu,Ilfov,Chiajna,0
Chitila,Ilfov,Chitila,0
Rudeni,Ilfov,Chitila,0
Ciorogarla,Ilfov,Ciorogarla,0
Clinceni,Ilfov,Clinceni,0
Olteni,Ilfov,Clinceni,0
Copaceni,Ilfov,Copaceni,0
Corbeanca,Ilfov,Corbeanca,0
Ostratu,Ilfov,Corbeanca,0
Petresti,Ilfov,Corbeanca,0
Tamasi,Ilfov,Corbeanca,0
Buda,Ilfov,Cornetu,0
Cornetu,Ilfov,Cornetu,0
Darasti-Ilfov,Ilfov,Darasti-Ilfov,0
Creata,Ilfov,Dascalu,0
Dascalu,Ilfov,Dascalu,0
Gagu,Ilfov,Dascalu,0
Runcu,Ilfov,Dascalu,0
Dobroesti,Ilfov,Dobroiesti,0
Fundeni,Ilfov,Dobroiesti,0
Domnesti,Ilfov,Domnesti,0
Dragomiresti-Deal,Ilfov,Dragomiresti-vale,0
Dragomiresti-Vale,Ilfov,Dragomiresti-vale,0
Zurbaua,Ilfov,Dragomiresti-vale,0
Cozieni,Ilfov,Ganeasa,0
Ganeasa,Ilfov,Ganeasa,0
Moara Domneasca,Ilfov,Ganeasa,0
Piteasca,Ilfov,Ganeasa,0
Sindrilita,Ilfov,Ganeasa,0
Catelu,Ilfov,Glina,0
Glina,Ilfov,Glina,0
Manolache,Ilfov,Glina,0
Jilava,Ilfov,Jilava,0
Alunisu,Ilfov,Magurele,0
Dumitrana,Ilfov,Magurele,0
Magurele,Ilfov,Magurele,0
Pruni,Ilfov,Magurele,0
Varteju,Ilfov,Magurele,0
Caciulati,Ilfov,Moara vlasiei,0
Moara Vlasiei,Ilfov,Moara Vlasiei,0
Mogosoaia,Ilfov,Mogosoaia,0
Odaile,Ilfov,Otopeni,0
Otopeni,Ilfov,Otopeni,0
Pantelimon,Ilfov,Pantelimon,0
Maineasca,Ilfov,Petrachioaia,0
Petrachioaia,Ilfov,Petrachioaia,0
Surlari,Ilfov,Petrachioaia,0
Vanatori,Ilfov,Petrachioaia,0
Popesti-Leordeni,Ilfov,Popesti-Leordeni,0
Cretuleasca,Ilfov,Stefanestii de Jos,0
Stefanestii de Jos,Ilfov,Stefanestii de Jos,0
Stefanestii de Sus,Ilfov,Stefanestii de Jos,0
Dimieni,Ilfov,Tunari,0
Tunari,Ilfov,Tunari,0
Cretesti,Ilfov,Vidra,0
Sintesti,Ilfov,Vidra,0
Voluntari,Ilfov,Voluntari,0
Baia Mare,Maramures,Baia mare,0
Sighetu Marmatiei,Maramures,Sighetu marmatiei,0
Drobeta-Turnu Severin,Mehedinti,Drobeta-turnu severin,0
Reghin,Mures,Reghin,0
Targu-Mures,Mures,Targu-mures,0
Tarnaveni,Mures,Tarnaveni,0
Targu Mures,Mures,Targu-mures,0
Piatra Neamt,Neamt,Piatra neamt,0
Roman,Neamt,Roman,0
Targu Neamt,Neamt,Targu Neamt,0
Caracal,Olt,Caracal,0
Slatina,Olt,Slatina,0
Campina,Prahova,Campina,0
Ploiesti,Prahova,Ploiesti,0
Zalau,Salaj,Zalau,0
Satu Mare,Satu Mare,Satu mare,0
Sibiu,Sibiu,Sibiu,0
Campulung Moldovenesc,Suceava,Campulung Moldovenesc,0
Suceava,Suceava,Suceava,0
Alexandria,Teleorman,Alexandria,0
Lugoj,Timis,Lugoj,0
Timisoara,Timis,Timisoara,0
Tulcea,Tulcea,Tulcea,0
Barlad,Vaslui,Barlad,0
Vaslui,Vaslui,Vaslui,0
Ramnicu Valcea,Valcea,Ramnicu valcea,0
Focsani,Vrancea,Focsani,0
Sofia,Sofia,Sofia,0
Plovdiv,Sofia,Plovdiv,0
International,International,International,0
Aiud,Alba,Aiud,0
Aiudul de Sus,Alba,Aiud,0
Ciumbrud,Alba,Aiud,0
Gambas,Alba,Aiud,0
Garbova de Jos,Alba,Aiud,0
Magina,Alba,Aiud,0
Pagida,Alba,Aiud,0
Sancrai,Alba,Aiud,0
Tifra,Alba,Aiud,0
Barabant,Alba,Alba Iulia,0
Micesti,Alba,Alba Iulia,0
Oarda,Alba,Alba Iulia,0
Paclisa,Alba,Alba Iulia,0
Blaj,Alba,Blaj,0
Deleni-Obarsie,Alba,Blaj,0
Flitesti,Alba,Blaj,0
Izvoarele,Alba,Blaj,0
Manarade,Alba,Blaj,0
Petrisat,Alba,Blaj,0
Spatac,Alba,Blaj,0
Tiur,Alba,Blaj,0
Veza,Alba,Blaj,0
Bucerdea Granoasa,Alba,Bucerdea Granoasa,0
Cornu,Alba,Bucerdea Granoasa,0
Padure,Alba,Bucerdea Granoasa,0
Panca,Alba,Bucerdea Granoasa,0
Ciugud,Alba,Ciugud,0
Drambar,Alba,Ciugud,0
Dumbrava,Alba,Ciugud,0
Hapria,Alba,Ciugud,0
Seusa,Alba,Ciugud,0
Teleac,Alba,Ciugud,0
Craciunelu de Jos,Alba,Craciunelu de jos,0
Craiva,Alba,Cricau,0
Cricau,Alba,Cricau,0
Tibru,Alba,Cricau,0
Bocsitura,Alba,Cugir,0
Bucuru,Alba,Cugir,0
Calene,Alba,Cugir,0
Cugir,Alba,Cugir,0
Feteni,Alba,Cugir,0
Goasele,Alba,Cugir,0
Mugesti,Alba,Cugir,0
Vinerea,Alba,Cugir,0
Benic,Alba,Galda de Jos,0
Cetea,Alba,Galda de Jos,0
Galda de Jos,Alba,Galda de Jos,0
Galda de Sus,Alba,Galda de Jos,0
Lupseni,Alba,Galda de Jos,0
Magura,Alba,Galda de Jos,0
Mesentea,Alba,Galda de Jos,0
Oiejdea,Alba,Galda de Jos,0
Poiana Galdei,Alba,Galda de Jos,0
Raicani,Alba,Galda de Jos,0
Zagris,Alba,Galda de Jos,0
Bucerdea Vinoasa,Alba,Ighiu,0
Ighiel,Alba,Ighiu,0
Ighiu,Alba,Ighiu,0
Sard,Alba,Ighiu,0
Telna,Alba,Ighiu,0
Livezile,Alba,Livezile,0
Poiana Aiudului,Alba,Livezile,0
Ampoita,Alba,Metes,0
Isca,Alba,Metes,0
Lunca Ampoitei,Alba,Metes,0
Lunca Metesului,Alba,Metes,0
Metes,Alba,Metes,0
Padurea,Alba,Metes,0
Poiana Ampoiului,Alba,Metes,0
Poiana Ursului,Alba,Metes,0
Presaca Ampoiului,Alba,Metes,0
Remetea,Alba,Metes,0
Tauti,Alba,Metes,0
Valeni,Alba,Metes,0
Cistei,Alba,Mihalt,0
Mihalt,Alba,Mihalt,0
Obreja,Alba,Mihalt,0
Zaries,Alba,Mihalt,0
Pianu,Alba,Pianu,0
Pianu de Jos,Alba,Pianu,0
Pianu de Sus,Alba,Pianu,0
Leorint,Alba,Radesti,0
Mescreac,Alba,Radesti,0
Radesti,Alba,Radesti,0
Soimus,Alba,Radesti,0
Margineni,Alba,Salistea,0
Salistea,Alba,Salistea,0
Salistea-Deal,Alba,Salistea,0
Tartaria,Alba,Salistea,0
Coslariu,Alba,Santimbru,0
Dumitra,Alba,Santimbru,0
Galtiu,Alba,Santimbru,0
Santimbru,Alba,Santimbru,0
Totoi,Alba,Santimbru,0
Lancram,Alba,Sebes,0
Petresti,Alba,Sebes,0
Rahau,Alba,Sebes,0
Sebes,Alba,Sebes,0
Balomiru de Camp,Alba,Sibot,0
Sibot,Alba,Sibot,0
Fata Pietrii,Alba,Stremt,0
